"Geslacht";"Leeftijd";"Migratieachtergrond ";"Hoogst behaald onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"     103"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"     192"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"     123"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"     152"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"     322"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"     310"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      37"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"    1801"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"     243"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"     174"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"     170"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"     200"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"     184"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"     207"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"     337"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"     201"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      86"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Nederlandse achtergrond";"Totaal";"2021 2e kwartaal";"    1565"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Nederlandse achtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"     193"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Nederlandse achtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"     130"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Nederlandse achtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"     363"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Nederlandse achtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"     103"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Nederlandse achtergrond";"212 Mbo4";"2021 2e kwartaal";"     153"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Nederlandse achtergrond";"213 Havo, vwo";"2021 2e kwartaal";"     423"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Nederlandse achtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"     162"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"Nederlandse achtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"      32"
