"Geslacht";"Leeftijd";"Migratieachtergrond ";"Hoogst behaald onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Nederlandse achtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"     408"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Nederlandse achtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"     219"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Nederlandse achtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      19"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"     270"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      14"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"      26"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      19"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"      44"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"      26"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      24"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"      61"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"      48"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"       7"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"     230"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      45"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"      28"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      16"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"      34"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"      17"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      15"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"      34"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"      22"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Niet-westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      18"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Nederlandse achtergrond";"Totaal";"2021 2e kwartaal";"    1680"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Nederlandse achtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"     225"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Nederlandse achtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"     324"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Nederlandse achtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"     159"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Nederlandse achtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"     298"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Nederlandse achtergrond";"212 Mbo4";"2021 2e kwartaal";"     162"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Nederlandse achtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      86"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Nederlandse achtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"     291"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Nederlandse achtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"     111"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Nederlandse achtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      24"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"     172"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      17"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"      22"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      13"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"      30"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"      12"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      10"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"      31"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"      31"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"       6"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"      94"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      15"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"       8"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      10"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"      18"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"      10"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"       8"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"       8"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"       7"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"Niet-westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"       9"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Nederlandse achtergrond";"Totaal";"2021 2e kwartaal";"    1249"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Nederlandse achtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"     274"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Nederlandse achtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"     329"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Nederlandse achtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"     125"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Nederlandse achtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"     201"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Nederlandse achtergrond";"212 Mbo4";"2021 2e kwartaal";"      85"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Nederlandse achtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      45"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Nederlandse achtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"     130"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Nederlandse achtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"      49"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Nederlandse achtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      13"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"     139"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      28"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"      24"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      12"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"      24"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"       7"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"       8"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"      12"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"      14"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      10"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"      37"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      12"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"       3"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"       4"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"       5"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"       0"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"       2"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"       4"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"       5"
"Totaal mannen en vrouwen";"75 jaar of ouder";"Niet-westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"       3"
